geogkey	continent	country	countrycode	stateprovince	county	municipality	waterbody	islandgroup	island	standard	vetted	error	misplaced	unresolved	source	comment
|UNITED STATES||LOUISIANA|IBERIA|AVERY ISLAND|||	North America	United States	US	Louisiana	Iberia				Avery	North America|United States|US|Louisiana|Iberia||||Avery	1			0		
|UNITED STATES||LOUISIANA|IBERIA|LEESBURG|||	North America	United States	US	Louisiana	Iberia	Leesburg				North America|United States|US|Louisiana|Iberia|Leesburg|||	1			0		
|UNITED STATES||LOUISIANA|IBERVILLE PARISH||||	North America	United States	US	Louisiana	Iberville					North America|United States|US|Louisiana|Iberville||||	1			0		
|UNITED STATES||LOUISIANA|IBERVILLE||||	North America	United States	US	Louisiana	Iberville					North America|United States|US|Louisiana|Iberville||||	1			0		
|UNITED STATES||LOUISIANA|JACKSON||||	North America	United States	US	Louisiana	Jackson					North America|United States|US|Louisiana|Jackson||||	1			0		
|UNITED STATES||LOUISIANA|JEFFERSON DAVIS PARISH||||	North America	United States	US	Louisiana	Jefferson Davis					North America|United States|US|Louisiana|Jefferson Davis||||	1			0		
|UNITED STATES||LOUISIANA|JEFFERSON DAVIS||||	North America	United States	US	Louisiana	Jefferson Davis					North America|United States|US|Louisiana|Jefferson Davis||||	1			0		
|UNITED STATES||LOUISIANA|JEFFERSON||||	North America	United States	US	Louisiana	Jefferson					North America|United States|US|Louisiana|Jefferson||||	1			0		
|UNITED STATES||LOUISIANA|JEFFERSON|GRAND ISLAND|||	North America	United States	US	Louisiana	Jefferson	Grand Isle				North America|United States|US|Louisiana|Jefferson|Grand Isle|||	1			0		
|UNITED STATES||LOUISIANA|LA SALLE||||	North America	United States	US	Louisiana	La Salle					North America|United States|US|Louisiana|La Salle||||	1			0		
|UNITED STATES||LOUISIANA|LAFAYETTE||||	North America	United States	US	Louisiana	Lafayette					North America|United States|US|Louisiana|Lafayette||||	1			0		
|UNITED STATES||LOUISIANA|LAFOURCHE||||	North America	United States	US	Louisiana	Lafourche					North America|United States|US|Louisiana|Lafourche||||	1			0		
|UNITED STATES||LOUISIANA|LANDRY||||	North America	United States	US	Louisiana	Landry					North America|United States|US|Louisiana|Landry||||	1			0		
|UNITED STATES||LOUISIANA|LAYFAYETTE||||	North America	United States	US	Louisiana	Lafayette					North America|United States|US|Louisiana|Lafayette||||	1			0		
|UNITED STATES||LOUISIANA|LINCOLN PARISH||||	North America	United States	US	Louisiana	Lincoln					North America|United States|US|Louisiana|Lincoln||||	1			0		
|UNITED STATES||LOUISIANA|LINCOLN||||	North America	United States	US	Louisiana	Lincoln					North America|United States|US|Louisiana|Lincoln||||	1			0		
|UNITED STATES||LOUISIANA|LIVINGSTON||||	North America	United States	US	Louisiana	Livingston					North America|United States|US|Louisiana|Livingston||||	1			0		
|UNITED STATES||LOUISIANA|MADISON PARISH||||	North America	United States	US	Louisiana	Madison					North America|United States|US|Louisiana|Madison||||	1			0		
|UNITED STATES||LOUISIANA|MADISON||||	North America	United States	US	Louisiana	Madison					North America|United States|US|Louisiana|Madison||||	1			0		
|UNITED STATES||LOUISIANA|MOREHOUSE||||	North America	United States	US	Louisiana	Morehouse					North America|United States|US|Louisiana|Morehouse||||	1			0		
|UNITED STATES||LOUISIANA|NATCHITOCHES PARISH||||	North America	United States	US	Louisiana	Natchitoches					North America|United States|US|Louisiana|Natchitoches||||	1			0		
|UNITED STATES||LOUISIANA|NATCHITOCHES||||	North America	United States	US	Louisiana	Natchitoches					North America|United States|US|Louisiana|Natchitoches||||	1			0		
|UNITED STATES||LOUISIANA|ORLEANS CO||||	North America	United States	US	Louisiana	Orleans					North America|United States|US|Louisiana|Orleans||||	1			0		
|UNITED STATES||LOUISIANA|ORLEANS PARISH||||	North America	United States	US	Louisiana	Orleans					North America|United States|US|Louisiana|Orleans||||	1			0		
|UNITED STATES||LOUISIANA|ORLEANS||||	North America	United States	US	Louisiana	Orleans					North America|United States|US|Louisiana|Orleans||||	1			0		
|UNITED STATES||LOUISIANA|OUACHITA PAR||||	North America	United States	US	Louisiana	Ouachita					North America|United States|US|Louisiana|Ouachita||||	1			0		
|UNITED STATES||LOUISIANA|OUACHITA PARISH||||	North America	United States	US	Louisiana	Ouachita					North America|United States|US|Louisiana|Ouachita||||	1			0		
|UNITED STATES||LOUISIANA|OUACHITA||||	North America	United States	US	Louisiana	Ouachita					North America|United States|US|Louisiana|Ouachita||||	1			0		
|UNITED STATES||LOUISIANA|PLACEHOLDER||||	North America	United States	US	Louisiana						North America|United States|US|Louisiana|||||	1			0		
|UNITED STATES||LOUISIANA|PLAQUEMINES||||	North America	United States	US	Louisiana	Plaquemines					North America|United States|US|Louisiana|Plaquemines||||	1			0		
|UNITED STATES||LOUISIANA|POINTE COUPEE PAR||||	North America	United States	US	Louisiana	Pointe Coupee					North America|United States|US|Louisiana|Pointe Coupee||||	1			0		
|UNITED STATES||LOUISIANA|POINTE COUPEE PARISH||||	North America	United States	US	Louisiana	Pointe Coupee					North America|United States|US|Louisiana|Pointe Coupee||||	1			0		
|UNITED STATES||LOUISIANA|POINTE COUPEE||||	North America	United States	US	Louisiana	Pointe Coupee					North America|United States|US|Louisiana|Pointe Coupee||||	1			0		
|UNITED STATES||LOUISIANA|RAPIDES||||	North America	United States	US	Louisiana	Rapides					North America|United States|US|Louisiana|Rapides||||	1			0		
|UNITED STATES||LOUISIANA|RICHLAND PAR||||	North America	United States	US	Louisiana	Richland					North America|United States|US|Louisiana|Richland||||	1			0		
|UNITED STATES||LOUISIANA|RICHLAND PARISH||||	North America	United States	US	Louisiana	Richland					North America|United States|US|Louisiana|Richland||||	1			0		
|UNITED STATES||LOUISIANA|RICHLAND||||	North America	United States	US	Louisiana	Richland					North America|United States|US|Louisiana|Richland||||	1			0		
|UNITED STATES||LOUISIANA|SABINE PARISH||||	North America	United States	US	Louisiana	Sabine					North America|United States|US|Louisiana|Sabine||||	1			0		
|UNITED STATES||LOUISIANA|SABINE||||	North America	United States	US	Louisiana	Sabine					North America|United States|US|Louisiana|Sabine||||	1			0		
|UNITED STATES||LOUISIANA|SAINT AMRY||||	North America	United States	US	Louisiana	Saint Mary					North America|United States|US|Louisiana|Saint Mary||||	1			0		
|UNITED STATES||LOUISIANA|SAINT BERNARD||||	North America	United States	US	Louisiana	Saint Bernard					North America|United States|US|Louisiana|Saint Bernard||||	1			0		
|UNITED STATES||LOUISIANA|SAINT BERNARD|DEEP PASS|||	North America	United States	US	Louisiana	Saint Bernard	Deep Pass				North America|United States|US|Louisiana|Saint Bernard|Deep Pass|||	1			0		
|UNITED STATES||LOUISIANA|SAINT CHARLES||||	North America	United States	US	Louisiana	Saint Charles					North America|United States|US|Louisiana|Saint Charles||||	1			0		
|UNITED STATES||LOUISIANA|SAINT HELENA||||	North America	United States	US	Louisiana	Saint Helena					North America|United States|US|Louisiana|Saint Helena||||	1			0		
|UNITED STATES||LOUISIANA|SAINT JAMES||||	North America	United States	US	Louisiana	Saint James					North America|United States|US|Louisiana|Saint James||||	1			0		
|UNITED STATES||LOUISIANA|SAINT LANDRY||||	North America	United States	US	Louisiana	Saint Landry					North America|United States|US|Louisiana|Saint Landry||||	1			0		
|UNITED STATES||LOUISIANA|SAINT MARTIN||||	North America	United States	US	Louisiana	Saint Martin					North America|United States|US|Louisiana|Saint Martin||||	1			0		
|UNITED STATES||LOUISIANA|SAINT MARY||||	North America	United States	US	Louisiana	Saint Mary					North America|United States|US|Louisiana|Saint Mary||||	1			0		
|UNITED STATES||LOUISIANA|SAINT TAMMANY||||	North America	United States	US	Louisiana	Saint Tammany					North America|United States|US|Louisiana|Saint Tammany||||	1			0		
|UNITED STATES||LOUISIANA|ST. CHARLES PARISH||||	North America	United States	US	Louisiana	Saint Charles					North America|United States|US|Louisiana|Saint Charles||||	1			0		
|UNITED STATES||LOUISIANA|ST. CHARLES||||	North America	United States	US	Louisiana	Saint Charles					North America|United States|US|Louisiana|Saint Charles||||	1			0		
|UNITED STATES||LOUISIANA|ST. JOHN THE BAPTIST||||	North America	United States	US	Louisiana	Saint John the Baptist					North America|United States|US|Louisiana|Saint John the Baptist||||	1			0		
|UNITED STATES||LOUISIANA|ST. LANDRY||||	North America	United States	US	Louisiana	Saint Landry					North America|United States|US|Louisiana|Saint Landry||||	1			0		
|UNITED STATES||LOUISIANA|ST. MARTIN||||	North America	United States	US	Louisiana	Saint Martin					North America|United States|US|Louisiana|Saint Martin||||	1			0		
|UNITED STATES||LOUISIANA|ST. MARY||||	North America	United States	US	Louisiana	Saint Mary					North America|United States|US|Louisiana|Saint Mary||||	1			0		
|UNITED STATES||LOUISIANA|ST. TAMANY CO||||	North America	United States	US	Louisiana	Saint Tammany					North America|United States|US|Louisiana|Saint Tammany||||	1			0		
|UNITED STATES||LOUISIANA|ST. TAMMANY PARISH||||	North America	United States	US	Louisiana	Saint Tammany					North America|United States|US|Louisiana|Saint Tammany||||	1			0		
|UNITED STATES||LOUISIANA|ST. TAMMANY||||	North America	United States	US	Louisiana	Saint Tammany					North America|United States|US|Louisiana|Saint Tammany||||	1			0		
|UNITED STATES||LOUISIANA|TANGIPAHOA PARISH||||	North America	United States	US	Louisiana	Tangipahoa					North America|United States|US|Louisiana|Tangipahoa||||	1			0		
|UNITED STATES||LOUISIANA|TANGIPAHOA||||	North America	United States	US	Louisiana	Tangipahoa					North America|United States|US|Louisiana|Tangipahoa||||	1			0		
|UNITED STATES||LOUISIANA|TENSAS||||	North America	United States	US	Louisiana	Tensas					North America|United States|US|Louisiana|Tensas||||	1			0		
|UNITED STATES||LOUISIANA|TERREBONNE||||	North America	United States	US	Louisiana	Terrebonne					North America|United States|US|Louisiana|Terrebonne||||	1			0		
|UNITED STATES||LOUISIANA|U.S.||||	North America	United States	US	Louisiana						North America|United States|US|Louisiana|||||	1			0		
|UNITED STATES||LOUISIANA|UNION||||	North America	United States	US	Louisiana	Union					North America|United States|US|Louisiana|Union||||	1			0		
|UNITED STATES||LOUISIANA|VERMILION PAR||||	North America	United States	US	Louisiana	Vermilion					North America|United States|US|Louisiana|Vermilion||||	1			0		
|UNITED STATES||LOUISIANA|VERMILION PARISH||||	North America	United States	US	Louisiana	Vermilion					North America|United States|US|Louisiana|Vermilion||||	1			0		
|UNITED STATES||LOUISIANA|VERMILION||||	North America	United States	US	Louisiana	Vermilion					North America|United States|US|Louisiana|Vermilion||||	1			0		
|UNITED STATES||LOUISIANA|VERMILION|CHENIERE AU TIGRE|||	North America	United States	US	Louisiana	Vermilion	Cheniere au Tigre				North America|United States|US|Louisiana|Vermilion|Cheniere au Tigre|||	1			0		
|UNITED STATES||LOUISIANA|VERMILLION PARISH||||	North America	United States	US	Louisiana	Vermilion					North America|United States|US|Louisiana|Vermilion||||	1			0		
|UNITED STATES||LOUISIANA|VERNON||||	North America	United States	US	Louisiana	Vernon					North America|United States|US|Louisiana|Vernon||||	1			0		
|UNITED STATES||LOUISIANA|WASHINGTON PAR||||	North America	United States	US	Louisiana	Washington					North America|United States|US|Louisiana|Washington||||	1			0		
|UNITED STATES||LOUISIANA|WASHINGTON PARISH||||	North America	United States	US	Louisiana	Washington					North America|United States|US|Louisiana|Washington||||	1			0		
|UNITED STATES||LOUISIANA|WASHINGTON||||	North America	United States	US	Louisiana	Washington					North America|United States|US|Louisiana|Washington||||	1			0		
|UNITED STATES||LOUISIANA|WEBSTER||||	North America	United States	US	Louisiana	Webster					North America|United States|US|Louisiana|Webster||||	1			0		
|UNITED STATES||LOUISIANA|WEST BATON ROUGE PARISH||||	North America	United States	US	Louisiana	West Baton Rouge					North America|United States|US|Louisiana|West Baton Rouge||||	1			0		
|UNITED STATES||LOUISIANA|WEST BATON ROUGE||||	North America	United States	US	Louisiana	West Baton Rouge					North America|United States|US|Louisiana|West Baton Rouge||||	1			0		
|UNITED STATES||LOUISIANA|WEST CARROLL||||	North America	United States	US	Louisiana	West Carroll					North America|United States|US|Louisiana|West Carroll||||	1			0		
|UNITED STATES||LOUISIANA|WEST FELICIANA PARISH||||	North America	United States	US	Louisiana	West Feliciana					North America|United States|US|Louisiana|West Feliciana||||	1			0		
|UNITED STATES||LOUISIANA|WEST FELICIANA||||	North America	United States	US	Louisiana	West Feliciana					North America|United States|US|Louisiana|West Feliciana||||	1			0		
|UNITED STATES||LOUISIANA|WINN||||	North America	United States	US	Louisiana	Winn					North America|United States|US|Louisiana|Winn||||	1			0		
|UNITED STATES||MA|||||	North America	United States	US	Massachusetts						North America|United States|US|Massachusetts|||||	1			0		
|UNITED STATES||MA|BARNSTABLE||||	North America	United States	US	Massachusetts	Barnstable					North America|United States|US|Massachusetts|Barnstable||||	1			0		
|UNITED STATES||MA|BERKSHIRE||||	North America	United States	US	Massachusetts	Berkshire					North America|United States|US|Massachusetts|Berkshire||||	1			0		
|UNITED STATES||MA|BRISTOL||||	North America	United States	US	Massachusetts	Bristol					North America|United States|US|Massachusetts|Bristol||||	1			0		
|UNITED STATES||MA|DUKES||||	North America	United States	US	Massachusetts	Dukes					North America|United States|US|Massachusetts|Dukes||||	1			0		
|UNITED STATES||MA|ESSEX||||	North America	United States	US	Massachusetts	Essex					North America|United States|US|Massachusetts|Essex||||	1			0		
|UNITED STATES||MA|FRANKLIN||||	North America	United States	US	Massachusetts	Franklin					North America|United States|US|Massachusetts|Franklin||||	1			0		
|UNITED STATES||MA|HAMPDEN||||	North America	United States	US	Massachusetts	Hampden					North America|United States|US|Massachusetts|Hampden||||	1			0		
|UNITED STATES||MA|HAMPSHIRE||||	North America	United States	US	Massachusetts	Hampshire					North America|United States|US|Massachusetts|Hampshire||||	1			0		
|UNITED STATES||MA|MIDDLESEX||||	North America	United States	US	Massachusetts	Middlesex					North America|United States|US|Massachusetts|Middlesex||||	1			0		
|UNITED STATES||MA|NANTUCKET||||	North America	United States	US	Massachusetts	Nantucket					North America|United States|US|Massachusetts|Nantucket||||	1			0		
|UNITED STATES||MA|NORFOLK||||	North America	United States	US	Massachusetts	Norfolk					North America|United States|US|Massachusetts|Norfolk||||	1			0		
|UNITED STATES||MA|PARRY SOUND||||	North America									North America||||||||	1			1		
|UNITED STATES||MA|PLACEHOLDER||||	North America	United States	US	Massachusetts						North America|United States|US|Massachusetts|||||	1			0		
|UNITED STATES||MA|PLYMOUTH||||	North America	United States	US	Massachusetts	Plymouth					North America|United States|US|Massachusetts|Plymouth||||	1			0		
|UNITED STATES||MA|SUFFOLK||||	North America	United States	US	Massachusetts	Suffolk					North America|United States|US|Massachusetts|Suffolk||||	1			0		
|UNITED STATES||MA|UNKNOWN||||	North America	United States	US	Massachusetts						North America|United States|US|Massachusetts|||||	1			0		
|UNITED STATES||MA|WORCESTER||||	North America	United States	US	Massachusetts	Worcester					North America|United States|US|Massachusetts|Worcester||||	1			0		
|UNITED STATES||MADISON|||||	North America	United States	US							North America|United States|US||||||	1	Madison can not be unambiguously located cannot be unambiguously identified		1		
|UNITED STATES||MAINE, NORTH AMERICA|||||	North America	United States	US	Maine						North America|United States|US|Maine|||||	1			0		
|UNITED STATES||MAINE|||||	North America	United States	US	Maine						North America|United States|US|Maine|||||	1			0		
|UNITED STATES||MAINE|ANDROSCOGGIN COUNTY||||	North America	United States	US	Maine	Androscoggin					North America|United States|US|Maine|Androscoggin||||	1			0		
|UNITED STATES||MAINE|ANDROSCOGGIN||||	North America	United States	US	Maine	Androscoggin					North America|United States|US|Maine|Androscoggin||||	1			0		
|UNITED STATES||MAINE|AROOSTOOK COUNTY||||	North America	United States	US	Maine	Aroostook					North America|United States|US|Maine|Aroostook||||	1			0		
|UNITED STATES||MAINE|AROOSTOOK||||	North America	United States	US	Maine	Aroostook					North America|United States|US|Maine|Aroostook||||	1			0		
|UNITED STATES||MAINE|AROOSTOOK|HOLTON|||	North America	United States	US	Maine	Aroostook	Houlton				North America|United States|US|Maine|Aroostook|Houlton|||	1			0		
|UNITED STATES||MAINE|AROOSTOOK|HOULTON|||	North America	United States	US	Maine	Aroostook	Houlton				North America|United States|US|Maine|Aroostook|Houlton|||	1			0		
|UNITED STATES||MAINE|CUMBERLAND COUNTY||||	North America	United States	US	Maine	Cumberland					North America|United States|US|Maine|Cumberland||||	1			0		
|UNITED STATES||MAINE|CUMBERLAND||||	North America	United States	US	Maine	Cumberland					North America|United States|US|Maine|Cumberland||||	1			0		
|UNITED STATES||MAINE|FRANKLIN CO||||	North America	United States	US	Maine	Franklin					North America|United States|US|Maine|Franklin||||	1			0		
|UNITED STATES||MAINE|FRANKLIN COUNTY||||	North America	United States	US	Maine	Franklin					North America|United States|US|Maine|Franklin||||	1			0		
|UNITED STATES||MAINE|FRANKLIN||||	North America	United States	US	Maine	Franklin					North America|United States|US|Maine|Franklin||||	1			0		
|UNITED STATES||MAINE|FRANKLIN|PHILLIPS|||	North America	United States	US	Maine	Franklin	Phillips				North America|United States|US|Maine|Franklin|Phillips|||	1			0		
|UNITED STATES||MAINE|HANCOCK CO||||	North America	United States	US	Maine	Hancock					North America|United States|US|Maine|Hancock||||	1			0		
|UNITED STATES||MAINE|HANCOCK||||	North America	United States	US	Maine	Hancock					North America|United States|US|Maine|Hancock||||	1			0		
|UNITED STATES||MAINE|KENNEBEC CO||||	North America	United States	US	Maine	Kennebec					North America|United States|US|Maine|Kennebec||||	1			0		
|UNITED STATES||MAINE|KENNEBEC COUNTY||||	North America	United States	US	Maine	Kennebec					North America|United States|US|Maine|Kennebec||||	1			0		
|UNITED STATES||MAINE|KENNEBEC||||	North America	United States	US	Maine	Kennebec					North America|United States|US|Maine|Kennebec||||	1			0		
|UNITED STATES||MAINE|KNOX||||	North America	United States	US	Maine	Knox					North America|United States|US|Maine|Knox||||	1			0		
|UNITED STATES||MAINE|LEWISTON||||	North America	United States	US	Maine	Androscoggin	Lewiston				North America|United States|US|Maine|Androscoggin|Lewiston|||	1			0		
|UNITED STATES||MAINE|LINCOLN COUNTY||||	North America	United States	US	Maine	Lincoln					North America|United States|US|Maine|Lincoln||||	1			0		
|UNITED STATES||MAINE|LINCOLN||||	North America	United States	US	Maine	Lincoln					North America|United States|US|Maine|Lincoln||||	1			0		
|UNITED STATES||MAINE|OXFORD COUNTY||||	North America	United States	US	Maine	Oxford					North America|United States|US|Maine|Oxford||||	1			0		
|UNITED STATES||MAINE|OXFORD||||	North America	United States	US	Maine	Oxford					North America|United States|US|Maine|Oxford||||	1			0		
|UNITED STATES||MAINE|PENABSCOTT CO||||	North America	United States	US	Maine	Penobscot					North America|United States|US|Maine|Penobscot||||	1			0		
|UNITED STATES||MAINE|PENOBSCOT CO||||	North America	United States	US	Maine	Penobscot					North America|United States|US|Maine|Penobscot||||	1			0		
|UNITED STATES||MAINE|PENOBSCOT COUNTY||||	North America	United States	US	Maine	Penobscot					North America|United States|US|Maine|Penobscot||||	1			0		
|UNITED STATES||MAINE|PENOBSCOT||||	North America	United States	US	Maine	Penobscot					North America|United States|US|Maine|Penobscot||||	1			0		
|UNITED STATES||MAINE|PENOBSCOT|BREWER|||	North America	United States	US	Maine	Penobscot	Brewer				North America|United States|US|Maine|Penobscot|Brewer|||	1			0		
|UNITED STATES||MAINE|PISCATAQUIS COUNTY||||	North America	United States	US	Maine	Piscataquis					North America|United States|US|Maine|Piscataquis||||	1			0		
|UNITED STATES||MAINE|PISCATAQUIS||||	North America	United States	US	Maine	Piscataquis					North America|United States|US|Maine|Piscataquis||||	1			0		
|UNITED STATES||MAINE|SAGADAHOC||||	North America	United States	US	Maine	Sagadahoc					North America|United States|US|Maine|Sagadahoc||||	1			0		
|UNITED STATES||MAINE|SOMERET||||	North America	United States	US	Maine	Somerset					North America|United States|US|Maine|Somerset||||	1			0		
|UNITED STATES||MAINE|SOMERSET COUNTY||||	North America	United States	US	Maine	Somerset					North America|United States|US|Maine|Somerset||||	1			0		
|UNITED STATES||MAINE|SOMERSET||||	North America	United States	US	Maine	Somerset					North America|United States|US|Maine|Somerset||||	1			0		
|UNITED STATES||MAINE|WALDO||||	North America	United States	US	Maine	Waldo					North America|United States|US|Maine|Waldo||||	1			0		
|UNITED STATES||MAINE|WASHINGTON CO||||	North America	United States	US	Maine	Washington					North America|United States|US|Maine|Washington||||	1			0		
|UNITED STATES||MAINE|WASHINGTON COUNTY||||	North America	United States	US	Maine	Washington					North America|United States|US|Maine|Washington||||	1			0		
|UNITED STATES||MAINE|WASHINGTON||||	North America	United States	US	Maine	Washington					North America|United States|US|Maine|Washington||||	1			0		
|UNITED STATES||MAINE|YORK CO||||	North America	United States	US	Maine	York					North America|United States|US|Maine|York||||	1			0		
|UNITED STATES||MAINE|YORK COUNTY||||	North America	United States	US	Maine	York					North America|United States|US|Maine|York||||	1			0		
|UNITED STATES||MAINE|YORK||||	North America	United States	US	Maine	York					North America|United States|US|Maine|York||||	1			0		
|UNITED STATES||MAINE|YORK||||	North America	United States	US	Maine	York					North America|United States|US|Maine|York||||	1			0		
|UNITED STATES||MARYLAND|||||	North America	United States	US	Maryland						North America|United States|US|Maryland|||||	1			0		
|UNITED STATES||MARYLAND|ALLEGANY CO||||	North America	United States	US	Maryland	Allegany					North America|United States|US|Maryland|Allegany||||	1			0		
|UNITED STATES||MARYLAND|ALLEGANY||||	North America	United States	US	Maryland	Allegany					North America|United States|US|Maryland|Allegany||||	1			0		
|UNITED STATES||MARYLAND|ANN ARUNDEL COUNTY||||	North America	United States	US	Maryland	Anne Arundel					North America|United States|US|Maryland|Anne Arundel||||	1			0		
|UNITED STATES||MARYLAND|ANN ARUNDEL||||	North America	United States	US	Maryland	Anne Arundel					North America|United States|US|Maryland|Anne Arundel||||	1			0		
|UNITED STATES||MARYLAND|ANNE ARUNDEL CO||||	North America	United States	US	Maryland	Anne Arundel					North America|United States|US|Maryland|Anne Arundel||||	1			0		
|UNITED STATES||MARYLAND|ANNE ARUNDEL COUNTY||||	North America	United States	US	Maryland	Anne Arundel					North America|United States|US|Maryland|Anne Arundel||||	1			0		
|UNITED STATES||MARYLAND|ANNE ARUNDEL||||	North America	United States	US	Maryland	Anne Arundel					North America|United States|US|Maryland|Anne Arundel||||	1			0		
|UNITED STATES||MARYLAND|BALTIMORE||||	North America	United States	US	Maryland	Baltimore					North America|United States|US|Maryland|Baltimore||||	1			0		
|UNITED STATES||MARYLAND|CALVERT||||	North America	United States	US	Maryland	Calvert					North America|United States|US|Maryland|Calvert||||	1			0		
|UNITED STATES||MARYLAND|CAROLINE||||	North America	United States	US	Maryland	Caroline					North America|United States|US|Maryland|Caroline||||	1			0		
|UNITED STATES||MARYLAND|CARROLL CO||||	North America	United States	US	Maryland	Carroll					North America|United States|US|Maryland|Carroll||||	1			0		
|UNITED STATES||MARYLAND|CECIL COUNTY||||	North America	United States	US	Maryland	Cecil					North America|United States|US|Maryland|Cecil||||	1			0		
|UNITED STATES||MARYLAND|CECIL||||	North America	United States	US	Maryland	Cecil					North America|United States|US|Maryland|Cecil||||	1			0		
|UNITED STATES||MARYLAND|CHARLES||||	North America	United States	US	Maryland	Charles					North America|United States|US|Maryland|Charles||||	1			0		
|UNITED STATES||MARYLAND|DORCHESTER CO||||	North America	United States	US	Maryland	Dorchester					North America|United States|US|Maryland|Dorchester||||	1			0		
|UNITED STATES||MARYLAND|DORCHESTER||||	North America	United States	US	Maryland	Dorchester					North America|United States|US|Maryland|Dorchester||||	1			0		
|UNITED STATES||MARYLAND|FREDERICK COUNTY||||	North America	United States	US	Maryland	Frederick					North America|United States|US|Maryland|Frederick||||	1			0		
|UNITED STATES||MARYLAND|FREDERICK||||	North America	United States	US	Maryland	Frederick					North America|United States|US|Maryland|Frederick||||	1			0		
|UNITED STATES||MARYLAND|FREDERICKS||||	North America	United States	US	Maryland	Frederick					North America|United States|US|Maryland|Frederick||||	1			0		
|UNITED STATES||MARYLAND|GARRETT||||	North America	United States	US	Maryland	Garrett					North America|United States|US|Maryland|Garrett||||	1			0		
|UNITED STATES||MARYLAND|GARRETT|ACCIDENT|||	North America	United States	US	Maryland	Garrett	Accident				North America|United States|US|Maryland|Garrett|Accident|||	1			0		
|UNITED STATES||MARYLAND|HARFORD COUNTY||||	North America	United States	US	Maryland	Harford					North America|United States|US|Maryland|Harford||||	1			0		
|UNITED STATES||MARYLAND|HARFORD||||	North America	United States	US	Maryland	Harford					North America|United States|US|Maryland|Harford||||	1			0		
|UNITED STATES||MARYLAND|HOWARD CO||||	North America	United States	US	Maryland	Howard					North America|United States|US|Maryland|Howard||||	1			0		
|UNITED STATES||MARYLAND|KENT CO||||	North America	United States	US	Maryland	Kent					North America|United States|US|Maryland|Kent||||	1			0		
|UNITED STATES||MARYLAND|KENT||||	North America	United States	US	Maryland	Kent					North America|United States|US|Maryland|Kent||||	1			0		
|UNITED STATES||MARYLAND|MONTGOMERY CO||||	North America	United States	US	Maryland	Montgomery					North America|United States|US|Maryland|Montgomery||||	1			0		
|UNITED STATES||MARYLAND|MONTGOMERY COUNTY||||	North America	United States	US	Maryland	Montgomery					North America|United States|US|Maryland|Montgomery||||	1			0		
|UNITED STATES||MARYLAND|MONTGOMERY||||	North America	United States	US	Maryland	Montgomery					North America|United States|US|Maryland|Montgomery||||	1			0		
|UNITED STATES||MARYLAND|PRINCE GEORGE||||	North America	United States	US	Maryland	Prince George's					North America|United States|US|Maryland|Prince George's||||	1			0		
|UNITED STATES||MARYLAND|PRINCE GEORGES CO||||	North America	United States	US	Maryland	Prince George's					North America|United States|US|Maryland|Prince George's||||	1			0		
|UNITED STATES||MARYLAND|PRINCE GEORGES||||	North America	United States	US	Maryland	Prince George's					North America|United States|US|Maryland|Prince George's||||	1			0		
|UNITED STATES||MARYLAND|PRINCE GEORGE'S||||	North America	United States	US	Maryland	Prince George's					North America|United States|US|Maryland|Prince George's||||	1			0		
|UNITED STATES||MARYLAND|PRINCE||||	North America	United States	US	Maryland						North America|United States|US|Maryland|||||	1	There is no Prince County in Maryland.		1		
|UNITED STATES||MARYLAND|QUEEN ANNE||||	North America	United States	US	Maryland	Queen Anne's					North America|United States|US|Maryland|Queen Anne's||||	1			0		
|UNITED STATES||MARYLAND|QUEEN ANNE'S COUNTY||||	North America	United States	US	Maryland	Queen Anne's					North America|United States|US|Maryland|Queen Anne's||||	1			0		
|UNITED STATES||MARYLAND|QUEEN ANNES||||	North America	United States	US	Maryland	Queen Anne's					North America|United States|US|Maryland|Queen Anne's||||	1			0		
|UNITED STATES||MARYLAND|QUEEN ANNE'S||||	North America	United States	US	Maryland	Queen Anne's					North America|United States|US|Maryland|Queen Anne's||||	1			0		
|UNITED STATES||MARYLAND|SAINT MARYS||||	North America	United States	US	Maryland	Saint Mary's					North America|United States|US|Maryland|Saint Mary's||||	1			0		
|UNITED STATES||MARYLAND|SAINT MARY'S||||	North America	United States	US	Maryland	Saint Mary's					North America|United States|US|Maryland|Saint Mary's||||	1			0		
|UNITED STATES||MARYLAND|SOMERSET||||	North America	United States	US	Maryland	Somerset					North America|United States|US|Maryland|Somerset||||	1			0		
|UNITED STATES||MARYLAND|ST. MARY’S COUNTY||||	North America	United States	US	Maryland	Saint Mary's					North America|United States|US|Maryland|Saint Mary's||||	1			0		
|UNITED STATES||MARYLAND|ST. MARY’S||||	North America	United States	US	Maryland	Saint Mary's					North America|United States|US|Maryland|Saint Mary's||||	1			0		
|UNITED STATES||MARYLAND|ST. MARY'S||||	North America	United States	US	Maryland	Saint Mary's					North America|United States|US|Maryland|Saint Mary's||||	1			0		
|UNITED STATES||MARYLAND|SUSSEX||||	North America	United States	US	Maryland						North America|United States|US|Maryland|||||	1	There is no Sussex County in Maryland.		1		
|UNITED STATES||MARYLAND|TALBOT CO||||	North America	United States	US	Maryland	Talbot					North America|United States|US|Maryland|Talbot||||	1			0		
|UNITED STATES||MARYLAND|TALBOT||||	North America	United States	US	Maryland	Talbot					North America|United States|US|Maryland|Talbot||||	1			0		
